ID||Anzahl|Original|Alternativname|normalisiert (deutsch)|Long|Lat|wikidata-id|Getty-id|Geonames-id|Kommentar |Zuordnung|Lage|Sicherheit|Inst. in der Stadt|wikidata-id inst|Geonames-id inst||||||||GND|
498|0|1|(Koblenz -- Aachen)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|doppelt|||||||||||||||
381|0|1|(Granis Aquis)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
108|0|1|(Aquisgrani)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
12|0|6|(Aachen?)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||unsicher||||0|0|0|0|0|0|0||
11|0|18|(Aachen)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
10|0|1|(Aachen -- Mainz)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|doppelt|||||||0|0|0|0|0|0|0||
9|0|1|(Aachen -- Ingelheim -- Vogesen -- Diedenhofen -- Aachen)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|doppelt|||||||0|0|0|0|0|0|0||
11525|0|1|[Aachen<sup>1</sup> ]||Aachen |6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
1036|0|1|(vor und in Aachen )||Aachen |6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|||Umgebung|||||0|0|0|0|0|0|0||
536|0|1|(Le Mans -- Chelles -- Ver -- Aachen -- Worms)||Aachen |6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|doppelt|||||||||||||||
1317|0|1|Aachensee||Aachensee|11.70924|47.46556|https://www.wikidata.org/wiki/Q615711||http://geonames.org/2783030||See||||||0|0|0|0|0|0|0||
1458|0|1|ad partes Aquilegie||Aalen|10.0933|48.83777|https://www.wikidata.org/wiki/Q3951||http://geonames.org/2959927|||Umgebung|||||||0|Friedrich II. 1236 ad partes Aquilegie|5|1|3170||
1630|0|6|Alst in Flandern||Aalst (Flandern)|4.0208|50.5610|https://www.wikidata.org/wiki/Q13121|7006843|http://www.geonames.org/2803448||||||||||0|Friedrich III. 1488 Juni 2 Alst in Flandern|13|0|8287||
1319|0|1|Aalst [in Flandern]||Aalst (Flandern)|4.0208|50.5610|https://www.wikidata.org/wiki/Q13121|7006843|http://www.geonames.org/2803448||||||||0|0|0|0|0|0|0||
1318|0|6|Aalst||Aalst (Flandern)|4.0208|50.5610|https://www.wikidata.org/wiki/Q13121|7006843|http://www.geonames.org/2803448||||||||4.0392406|50.9383222|0|Friedrich III. 1488 Mai 29 Aalst|13|8|12496||
1320|0|3|Aarau||Aarau|8.04422|47.39254|https://www.wikidata.org/wiki/Q14274|7007266|http://www.geonames.org/2661881||||||||0|0|0|0|0|0|0||
1321|0|2|Aarberg||Aarberg|7.27578|47.04439|https://www.wikidata.org/wiki/Q64113|1063874|http://www.geonames.org/2661880||||||||0|0|0|0|0|0|0||
5815|0|1|im Feld zu Aardenburg|Rodenburg|Aardenburg|3.44722|51.27333|https://www.wikidata.org/wiki/Q955|1047597|http://www.geonames.org/2760096|||im Feld|||||0|0|0|0|0|0|0||
5796|0|1|im Feld bei Aardenburg in Flandern|Rodenburg|Aardenburg|3.44722|51.27333|https://www.wikidata.org/wiki/Q955|1047597|http://www.geonames.org/2760096|||im Feld|||||0|0|0|0|0|0|0||
3146|0|5|Ardenburg|Rodenburg|Aardenburg|3.44722|51.27333|https://www.wikidata.org/wiki/Q955|1047597|http://www.geonames.org/2760096||||||||||0|Friedrich III. 1488 Juli 24 Ardenburg|13|0|8303||
1322|0|1|Aardenburg|Rodenburg|Aardenburg|3.44722|51.27333|https://www.wikidata.org/wiki/Q955|1047597|http://www.geonames.org/2760096||||||||3.44035|51.2758|0|Friedrich III. 1488 Juli 27, im Feld zu Aardenburg|13|16|205||
9575|0|1|S. Salvatore auf dem Monte Amiata||Abbadia San Salvatore|11.6722|42.8812|https://www.wikidata.org/wiki/Q91096|7006317|http://www.geonames.org/3183581/abbadia-san-salvatore.html||||||||0|0|0|0|0|0|0||
2996|0|7|stum Salvatorem||Abbadia San Salvatore|11.6722 |42.8812 |https://www.wikidata.org/wiki/Q91096|7006317|http://www.geonames.org/3183581/abbadia-san-salvatore.html||||||||0|0|0|0|0|0|0||
2372|0|1|ap. S. Salvator.||Abbadia San Salvatore|11.6722|42.8812|https://www.wikidata.org/wiki/Q91096|7006317|http://www.geonames.org/3183581/abbadia-san-salvatore.html|||Umgebung|||||0|0|0|0|0|0|0||
1952|0|1|ap. castrum abbatie S. Salvatoris||Abbadia San Salvatore|11.6722|42.8812|https://www.wikidata.org/wiki/Q91096|7006317|http://www.geonames.org/3183581/abbadia-san-salvatore.html||Burg|Umgebung|||||0|0|0|0|0|0|0||
6986|0|2|iuxta Abiate||Abbiategrasso|8.91678 |45.39821 |https://www.wikidata.org/wiki/Q42777|7006018|http://www.geonames.org/3183573|||Umgebung|||||||0|Friedrich II. 1245 iuxta Abiate|5|1|4767||
1325|0|7|Abbiategrasso||Abbiategrasso|8.91678 |45.39821 |https://www.wikidata.org/wiki/Q42777|7006018|http://www.geonames.org/3183573||||||||0|0|0|0|0|0|0||
13|0|1|(Abbiategrasso)||Abbiategrasso|8.91678 |45.39821 |https://www.wikidata.org/wiki/Q42777|7006018|http://www.geonames.org/3183573||||||||0|0|0|0|0|0|0||
3493|0|1|bei Abensberg||Abensberg|11.8498|48.81684|https://www.wikidata.org/wiki/Q255698|1038106|http://www.geonames.org/2959842/|||Umgebung|||||0|0|Friedrich II.|0|0|0|0||
1326|0|1|Abensberg - Geisenfeld||Abensberg|11.8498|48.81684|https://www.wikidata.org/wiki/Q255698|1038106|http://www.geonames.org/2959842/|doppelt|||||||0|0|0|0|0|0|0||
6016|0|1|in Abodritos|Obotriten|Abodritos|||https://www.wikidata.org/wiki/Q156108||||Volk||||||0|0|0|0|0|0|0||
453|0|1|(in den Abruzzen)||Abruzzen|||https://www.wikidata.org/wiki/Q1284||http://www.geonames.org/3183560||Region||||||0|0|0|0|0|0|0||
2566|0|3|Acerras||Acerra|14.2217|40.5641|https://www.wikidata.org/wiki/Q71603|1043090|http://www.geonames.org/3183541||||||||0|0|0|0|0|0|0||
1332|0|3|Acerris||Acerra|14.2217|40.5641|https://www.wikidata.org/wiki/Q71603|1043090|http://www.geonames.org/3183541||||||||0|0|0|0|0|0|0||
1331|0|2|Acerra||Acerra|14.2217|40.5641|https://www.wikidata.org/wiki/Q71603|1043090|http://www.geonames.org/3183541||||||||0|0|0|0|0|0|0||
1334|0|4|Achalm||Achalm|9.24422|48.49434|https://www.wikidata.org/wiki/Q897073|1038979|http://www.geonames.org/2959718||||||||0|0|0|0|0|0|0||
9289|0|2|Reutlingen Achalm||Achalm (Reutlingen)|||https://www.wikidata.org/wiki/Q1117185||||Burg||||||0|0|0|0|0|0|0||
9816|0|1|Schwaz, Achensee - Innsbruck||Achensee|11.70924|47.46556|https://www.wikidata.org/wiki/Q615711||http://geonames.org/2783030|doppelt|See||||||0|0|0|0|0|0|0||
1338|0|1|Achensee||Achensee|11.70924|47.46556|https://www.wikidata.org/wiki/Q615711|1115350|http://www.geonames.org/2783030||||||||0|0|0|0|0|0|0||
3100|0|1|Aquapendenti (?)||Acquapendente|11.5206|42.4433|https://www.wikidata.org/wiki/Q159474|7006790|http://www.geonames.org/3183516||||unsicher||||0|0|Friedrich II.|0|0|0|0||
2587|0|16|Aquampendentem||Acquapendente|11.5206|42.4433|https://www.wikidata.org/wiki/Q159474|7006790|http://www.geonames.org/3183516||||||||0|0|0|0|0|0|0||
2585|0|1|Aquam pendentem||Acquapendente|11.5206|42.4433|https://www.wikidata.org/wiki/Q159474|7006790|http://www.geonames.org/3183516||||||||0|0|0|0|0|0|0||
1354|0|1|ad Aquam pendentem||Acquapendente|11.5206|42.4433|https://www.wikidata.org/wiki/Q159474|7006790|http://www.geonames.org/3183516|||Umgebung|||||0|0|0|0|0|0|0||
1340|0|2|Acquapendente||Acquapendente|11.5206|42.4433|https://www.wikidata.org/wiki/Q159474|7006790|http://www.geonames.org/3183516||||||||0|0|0|0|0|0|0||
1342|0|1|Acqui (Aquis callidis)||Acqui Terme|8.46934|44.67552|https://www.wikidata.org/wiki/Q17244||http://www.geonames.org/3183490||||||||0|0|0|0|0|0|0||
1341|0|1|Acqui (aquis callidis Montisferrati)||Acqui Terme|8.46934|44.67552|https://www.wikidata.org/wiki/Q17244||http://www.geonames.org/3183490||||||||0|0|0|0|0|0|0||
10432|0|1|trans Adduam|Addua|Adda|||https://www.wikidata.org/wiki/Q63109|1120958|http://geonames.org/3183477||Fluss|Überquerung|||||0|0|0|0|0|0|0||
4498|0|1|Cornegliano Bertario - an der Adda|Addua|Adda|||https://www.wikidata.org/wiki/Q63109|1120958|http://geonames.org/3183477|doppelt|Fluss||||||||||||||
3113|0|1|Aquileia - Verona - Pavia - an der Adda - Verona - an der Brenta|Addua|Adda|||https://www.wikidata.org/wiki/Q63109|1120958|http://geonames.org/3183477|doppelt|Fluss|Umgebung|||||||||||||
1703|0|1|an der Adda|Addua|Adda|||https://www.wikidata.org/wiki/Q63109|1120958|http://geonames.org/3183477||Fluss|Umgebung|||||0|0|0|0|0|0|0||
1545|0|2|Adelberg||Adelberg|9.59991|48.76227|https://www.wikidata.org/wiki/Q80480|7215529|http://www.geonames.org/2959553||||||||0|0|0|0|0|0|0||
1549|0|1|Admunt||Admont|14.46075|47.57537|https://www.wikidata.org/wiki/Q359324|7003114|http://www.geonames.org/2782979||||||||0|0|0|0|0|0|0||
1548|0|1|Admunde||Admont|14.46075|47.57537|https://www.wikidata.org/wiki/Q359324|7003114|http://www.geonames.org/2782979||||||||0|0|0|0|0|0|0||
1547|0|1|Admund||Admont|14.46075|47.57537|https://www.wikidata.org/wiki/Q359324|7003114|http://www.geonames.org/2782979||||||||||0|Friedrich III. 1483 Juli 2 Admund|13|0|7620||
1546|0|2|Admont||Admont|14.46075|47.57537|https://www.wikidata.org/wiki/Q359324|7003114|http://www.geonames.org/2782979||||||||0|0|0|0|0|0|0||
1552|0|4|Adony (Adon) in Ungarn|Adon|Adony|18.86493|47.1194|https://www.wikidata.org/wiki/Q366220||http://geonames.org/3056414||||||||0|0|0|0|0|0|0||
11494|0|1|zwischen <em>Constantia</em> (Harmanli an der Marica) und Adrianopel (Edirne)|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712|doppelt||zwischen|||||||||||||
10625|0|1|unweit von Adrianopel (Edirne)|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712|||Umgebung|||||0|0|0|0|0|0|0||
8478|0|1|östlich von Edirne|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712|||Umgebung|||||0|0|0|0|0|0|0||
5971|0|1|im näheren und weiteren Umland von Adrianopel (Edirne)|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712|||Umgebung|||||0|0|0|0|0|0|0||
4755|0|1|Edirne|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712||||||||0|0|0|0|0|0|0||
1556|0|1|Adrianopel (Edirne) und Umgebung|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712|||Umgebung|||||0|0|0|0|0|0|0||
1555|0|1|Adrianopel (Edirne) sowie näheres und weiteres Umfeld dieser Stadt|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712|||Umgebung|||||0|0|Friedrich II.|0|0|0|0||
1554|0|11|Adrianopel (Edirne)|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712||||||||0|0|0|0|0|0|0||
1553|0|1|Adrianopel|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712||||||||0|0|0|0|0|0|0||
18|0|1|(Adrianopel/Edirne)|Edirne|Adrianopel|26.55597|41.67719|https://www.wikidata.org/wiki/Q43387|1001232|http://www.geonames.org/747712||||||||0|0|0|0|0|0|0||
10659|0|1|usque Aginnum||Agen|0.63333|44.2|https://www.wikidata.org/wiki/Q6625|7008189|http://www.geonames.org/3038634|||Umgebung|||||0|0|0|0|0|0|0||
1563|0|1|Agen||Agen|0.63333|44.2|https://www.wikidata.org/wiki/Q6625|7008189|http://www.geonames.org/3038634||||||||0|0|0|0|0|0|0||
